"idnr" "jahrgang" "geschl" "stunzahl" "hausauf" "abschalt" "leistung" "begabung" "urteil" "englisch" "deutsch" "mathe" "zeng" "zdeutsch" "zmathe" "index" "leist"
50 1 1 33 3 2 6 8 6 4 6 5 -0.296175220488721 -0.782673355299719 -0.400368960132238 2 2
2 1 2 36 5 1 4 6 5 8 11 9 1.7464125070197 1.65708149289143 1.74064152185834 3 2
52 1 2 33 2 1 8 8 8 2 5 3 -1.31746908424293 -1.27062432493795 -1.47087420112753 1 3
53 1 2 38 4 1 6 7 5 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
54 1 2 35 4 1 7 6 7 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 3
55 1 2 36 6 2 9 9 9 9 11 9 2.25705943889681 1.65708149289143 1.74064152185834 3 3
56 1 2 36 6 1 5 6 5 9 12 10 2.25705943889681 2.14503246252966 2.27589414235599 3 2
57 1 2 35 3 1 6 6 5 4 6 5 -0.296175220488721 -0.782673355299719 -0.400368960132238 2 2
58 1 2 36 4 1 7 6 6 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 3
59 1 2 36 4 1 6 6 6 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
60 1 2 36 5 1 6 7 6 8 11 9 1.7464125070197 1.65708149289143 1.74064152185834 3 2
61 1 2 37 5 1 5 6 5 8 11 9 1.7464125070197 1.65708149289143 1.74064152185834 3 2
62 1 2 35 4 1 5 5 4 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
63 1 2 34 4 1 5 8 4 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
64 1 2 35 3 2 5 6 5 4 6 5 -0.296175220488721 -0.782673355299719 -0.400368960132238 2 2
65 1 2 35 3 2 5 5 5 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
66 1 2 36 5 1 3 5 2 8 11 9 1.7464125070197 1.65708149289143 1.74064152185834 3 1
67 1 2 30 2 1 6 7 6 2 5 3 -1.31746908424293 -1.27062432493795 -1.47087420112753 1 2
68 1 2 35 3 2 7 7 6 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 3
69 1 2 33 3 1 8 7 7 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 3
70 1 2 33 4 NA 5 5 5 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
71 1 2 33 4 2 4 5 5 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
72 1 2 37 4 2 6 5 5 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
73 1 2 36 3 1 5 5 5 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
74 1 2 36 3 2 5 6 5 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
75 1 2 34 4 1 6 5 6 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
76 1 2 36 4 2 5 6 7 5 8 7 0.214471711388384 0.19322858397674 0.670136280863052 2 2
77 1 2 36 3 1 8 7 7 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 3
78 1 2 34 4 1 6 6 5 5 8 7 0.214471711388384 0.19322858397674 0.670136280863052 2 2
79 1 2 31 4 1 5 5 6 5 9 7 0.214471711388384 0.68117955361497 0.670136280863052 2 2
80 1 2 35 4 2 5 5 5 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
81 1 2 33 4 1 5 5 5 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
82 1 2 33 3 1 4 5 4 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
83 1 2 36 3 1 4 5 5 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
84 1 2 36 3 1 5 5 5 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
85 1 2 34 7 1 5 5 5 10 13 11 2.76770637077391 2.63298343216789 2.81114676285363 3 2
86 1 2 35 3 2 6 6 5 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
87 1 2 33 3 2 7 6 6 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 3
88 1 2 36 4 1 4 6 5 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
89 1 2 32 4 1 5 5 5 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
90 1 2 33 3 1 6 5 4 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
91 1 2 33 3 1 3 3 5 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 1
92 1 2 33 7 1 6 7 7 10 13 11 2.76770637077391 2.63298343216789 2.81114676285363 3 2
93 1 2 38 4 1 4 5 3 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
94 1 2 36 2 1 5 5 5 2 5 3 -1.31746908424293 -1.27062432493795 -1.47087420112753 1 2
95 1 2 35 3 1 5 7 5 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
96 1 2 31 1 1 1 4 1 1 3 2 -1.82811601612004 -2.24652626421441 -2.00612682162517 1 1
97 1 2 33 4 1 7 8 8 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 3
98 1 2 33 5 1 5 5 5 8 11 9 1.7464125070197 1.65708149289143 1.74064152185834 3 2
99 1 2 39 3 2 7 6 6 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 3
100 1 2 36 4 2 5 6 5 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
101 2 1 30 3 1 5 8 5 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
102 2 1 39 2 2 7 6 7 2 5 3 -1.31746908424293 -1.27062432493795 -1.47087420112753 1 3
103 2 1 34 2 1 6 7 8 2 5 3 -1.31746908424293 -1.27062432493795 -1.47087420112753 1 2
104 2 1 36 4 2 8 8 8 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 3
105 2 1 33 1 2 6 7 6 0 10 8 -2.33876294799714 1.1691305232532 1.2053889013607 2 2
106 2 1 31 4 2 7 7 7 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 3
107 2 1 36 3 2 7 7 7 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 3
108 2 1 38 4 2 6 6 5 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
109 2 1 33 4 2 6 5 6 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
110 2 1 40 4 2 8 9 9 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 3
111 2 1 33 2 2 7 8 8 2 5 3 -1.31746908424293 -1.27062432493795 -1.47087420112753 1 3
112 2 1 36 2 1 5 7 1 2 5 3 -1.31746908424293 -1.27062432493795 -1.47087420112753 1 2
113 2 1 32 3 1 6 7 8 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
114 2 1 33 3 2 2 8 7 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 1
115 2 1 33 3 2 4 5 4 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
116 2 1 30 3 1 6 6 7 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
117 2 1 36 3 1 5 7 5 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
118 2 1 33 4 1 8 8 8 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 3
119 2 1 31 5 2 8 7 6 8 11 9 1.7464125070197 1.65708149289143 1.74064152185834 3 3
120 2 1 39 3 2 8 7 8 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 3
121 2 1 33 3 2 5 8 4 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
122 2 1 36 3 1 5 7 3 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
123 2 1 36 5 1 5 7 7 8 11 9 1.7464125070197 1.65708149289143 1.74064152185834 3 2
124 2 1 35 3 1 2 5 4 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 1
125 2 1 33 2 2 3 9 5 2 5 3 -1.31746908424293 -1.27062432493795 -1.47087420112753 1 1
126 2 1 30 4 1 2 5 4 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 1
127 2 1 33 3 2 8 8 8 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 3
128 2 1 33 2 2 5 6 5 2 5 3 -1.31746908424293 -1.27062432493795 -1.47087420112753 1 2
129 2 1 33 4 1 5 9 6 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
130 2 1 31 4 1 5 5 8 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
131 2 1 30 1 1 4 5 6 1 3 2 -1.82811601612004 -2.24652626421441 -2.00612682162517 1 2
132 2 1 32 4 1 4 7 5 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
133 2 1 33 4 2 6 8 5 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
134 2 1 35 3 1 5 4 4 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
135 2 1 36 2 1 5 6 6 2 5 3 -1.31746908424293 -1.27062432493795 -1.47087420112753 1 2
136 2 1 38 3 1 6 6 5 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
137 2 1 33 4 1 5 7 6 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
138 2 1 33 4 1 4 4 4 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
139 2 1 32 3 1 6 5 5 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
140 2 1 33 2 2 8 8 8 2 5 4 -1.31746908424293 -1.27062432493795 -0.935621580629883 1 3
141 2 1 30 3 1 6 6 6 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
142 2 1 33 3 2 4 5 5 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
143 2 1 32 4 2 5 6 5 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
144 2 1 33 2 1 4 7 5 2 5 4 -1.31746908424293 -1.27062432493795 -0.935621580629883 1 2
145 2 1 39 2 2 4 8 5 2 5 4 -1.31746908424293 -1.27062432493795 -0.935621580629883 1 2
146 2 1 34 3 2 5 5 6 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
147 2 1 33 3 2 5 5 4 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
148 2 1 33 3 1 5 5 5 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
149 2 1 36 2 1 5 6 6 2 5 4 -1.31746908424293 -1.27062432493795 -0.935621580629883 1 2
150 2 1 33 4 2 5 6 5 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
151 2 2 35 3 1 7 7 7 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 3
152 2 2 34 4 2 7 7 6 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 3
153 2 2 42 2 2 6 7 6 2 5 4 -1.31746908424293 -1.27062432493795 -0.935621580629883 1 2
154 2 2 33 4 2 7 7 7 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 3
155 2 2 35 5 2 6 5 5 8 11 9 1.7464125070197 1.65708149289143 1.74064152185834 3 2
156 2 2 35 6 2 6 6 5 9 12 10 2.25705943889681 2.14503246252966 2.27589414235599 3 2
157 2 2 36 3 2 7 8 8 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 3
158 2 2 34 2 1 4 8 5 3 5 4 -0.806822152365826 -1.27062432493795 -0.935621580629883 1 2
159 2 2 32 2 2 5 6 4 3 5 4 -0.806822152365826 -1.27062432493795 -0.935621580629883 1 2
160 2 2 34 1 1 5 5 5 1 3 2 -1.82811601612004 -2.24652626421441 -2.00612682162517 1 2
161 2 2 36 4 1 5 6 6 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
162 2 2 35 4 1 7 6 6 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 3
163 2 2 33 3 1 5 5 4 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
164 2 2 33 2 1 6 8 7 3 5 4 -0.806822152365826 -1.27062432493795 -0.935621580629883 1 2
165 2 2 33 2 1 7 7 7 3 5 4 -0.806822152365826 -1.27062432493795 -0.935621580629883 1 3
166 2 2 36 3 2 5 5 5 4 7 5 -0.296175220488721 -0.294722385661489 -0.400368960132238 2 2
167 2 2 33 2 1 7 7 7 3 5 4 -0.806822152365826 -1.27062432493795 -0.935621580629883 1 3
168 2 2 33 4 2 5 5 5 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
169 2 2 39 2 2 9 9 9 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 3
170 2 2 36 0 NA 5 7 5 0 10 8 -2.33876294799714 1.1691305232532 1.2053889013607 2 2
171 2 2 37 4 1 6 8 5 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
172 2 2 35 4 2 6 5 7 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
173 2 2 38 3 1 6 5 5 4 7 6 -0.296175220488721 -0.294722385661489 0.134883660365407 2 2
174 2 2 34 3 1 6 7 7 4 7 6 -0.296175220488721 -0.294722385661489 0.134883660365407 2 2
175 2 2 34 4 1 5 6 5 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
176 2 2 36 3 1 5 5 5 4 7 6 -0.296175220488721 -0.294722385661489 0.134883660365407 2 2
177 2 2 31 2 2 5 7 6 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
178 2 2 36 2 1 3 5 5 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 1
179 2 2 33 2 1 5 5 5 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
180 2 2 36 4 2 3 5 1 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 1
181 2 2 33 4 1 6 7 6 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
182 2 2 33 3 1 7 8 7 4 7 6 -0.296175220488721 -0.294722385661489 0.134883660365407 2 3
183 2 2 36 4 2 4 6 5 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
184 2 2 40 5 1 5 5 6 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 2
185 2 2 33 2 1 4 5 5 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
186 2 2 33 2 2 5 7 5 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
187 2 2 37 4 2 8 8 8 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 3
188 2 2 34 3 1 5 7 4 4 7 6 -0.296175220488721 -0.294722385661489 0.134883660365407 2 2
189 2 2 30 1 1 5 5 5 2 4 2 -1.31746908424293 -1.75857529457618 -2.00612682162517 1 2
190 2 2 36 2 1 6 8 7 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
191 2 2 34 3 1 5 5 5 5 7 6 0.214471711388384 -0.294722385661489 0.134883660365407 2 2
192 2 2 36 3 1 5 7 7 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
193 2 2 33 4 1 7 7 6 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 3
194 2 2 33 3 1 4 5 4 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
195 2 2 36 2 2 7 8 7 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 3
196 2 2 36 4 2 5 7 6 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
197 2 2 34 3 1 5 7 5 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
198 2 2 31 4 2 6 7 5 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 2
199 2 2 36 3 2 5 5 4 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
200 2 2 33 0 2 7 7 5 0 10 8 -2.33876294799714 1.1691305232532 1.2053889013607 2 3
201 3 1 30 1 1 5 5 6 2 4 2 -1.31746908424293 -1.75857529457618 -2.00612682162517 1 2
202 3 1 26 3 1 6 5 7 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
203 3 1 24 2 1 5 6 6 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
204 3 1 32 3 2 6 7 5 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
205 3 1 33 0 2 7 6 7 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 3
206 3 1 36 1 2 8 5 8 2 4 2 -1.31746908424293 -1.75857529457618 -2.00612682162517 1 3
207 3 1 35 4 2 7 7 9 6 9 7 0.725118643265489 0.68117955361497 0.670136280863052 2 3
208 3 1 39 3 2 7 7 7 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 3
209 3 1 30 3 1 7 7 7 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 3
210 3 1 36 3 1 7 7 6 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 3
211 3 1 37 4 2 7 7 7 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 3
212 3 1 36 1 1 3 5 6 2 4 2 -1.31746908424293 -1.75857529457618 -2.00612682162517 1 1
213 3 1 30 1 2 6 7 6 1 4 3 -1.82811601612004 -1.75857529457618 -1.47087420112753 1 2
214 3 1 24 3 1 5 7 4 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
215 3 1 33 3 2 5 8 6 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
216 3 1 34 3 1 5 7 4 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
217 3 1 30 4 1 5 7 5 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 2
218 3 1 32 3 2 5 7 4 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
219 3 1 33 3 1 5 6 5 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
220 3 1 33 3 2 4 7 7 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
221 3 1 39 4 2 7 7 9 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 3
222 3 1 34 3 1 5 4 3 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
223 3 1 34 3 1 5 7 5 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
224 3 1 18 4 1 4 5 5 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 2
225 3 1 30 3 1 4 5 5 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
226 3 2 22 4 2 7 9 8 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 3
227 3 2 22 4 1 7 8 7 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 3
228 3 2 33 5 2 7 6 6 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 3
229 3 2 34 4 1 7 7 6 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 3
250 3 2 38 4 2 8 8 8 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 3
231 3 2 35 4 2 5 5 5 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 2
232 3 2 32 4 2 5 6 6 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 2
233 3 2 30 4 1 5 6 5 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 2
234 3 2 20 5 1 4 5 4 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 2
235 3 2 37 4 1 5 5 5 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 2
236 3 2 35 4 2 7 5 5 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 3
237 3 2 34 6 2 7 6 5 9 12 10 2.25705943889681 2.14503246252966 2.27589414235599 3 3
238 3 2 32 5 2 3 4 5 7 11 8 1.23576557514259 1.65708149289143 1.2053889013607 3 1
239 3 2 34 4 1 6 5 5 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 2
240 3 2 30 3 2 6 6 6 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
241 3 2 27 5 2 5 5 5 7 11 8 1.23576557514259 1.65708149289143 1.2053889013607 3 2
242 3 2 23 3 1 6 4 5 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
243 3 2 23 3 1 5 6 6 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
244 3 2 27 2 1 5 8 7 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
245 3 2 31 4 1 6 7 5 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 2
246 3 2 22 4 1 5 7 5 7 10 8 1.23576557514259 1.1691305232532 1.2053889013607 3 2
247 3 2 38 2 1 5 7 7 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
248 3 2 23 1 1 5 7 6 1 4 3 -1.82811601612004 -1.75857529457618 -1.47087420112753 1 2
249 3 2 33 3 1 5 5 3 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
230 3 2 23 5 2 5 5 6 7 11 8 1.23576557514259 1.65708149289143 1.2053889013607 3 2
